tahun,bulan,benua,region,nama_negara,nilai_ekspor
2005,"Februari","Australia dan Oceania","Australia","Australia",210969
2005,"Februari","Australia dan Oceania","New Zealand","New Zealand",16218
2005,"Februari","Afrika","Afrika Selatan","Afrika Selatan",24877
2005,"Februari","Afrika","Afrika Lainnya","Afrika lainnya",78754
2005,"Februari","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan","Ekspor yang tidak dapat diklasifikasikan",99550
2005,"Maret","Amerika","Amerika Utara","Amerika Serikat",858539
2005,"Maret","Amerika","Amerika Utara","Kanada",36361
2005,"Maret","Amerika","Amerika Tengah dan Selatan","Argentina",9727
2005,"Maret","Amerika","Amerika Tengah dan Selatan","Brasil",25607
2005,"Maret","Amerika","Amerika Tengah dan Selatan","Meksiko",19008
2005,"Maret","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",41842
2005,"Maret","Eropa","Uni Eropa","Belanda",156765
2005,"Maret","Eropa","Uni Eropa","Belgia",82533
2005,"Maret","Eropa","Uni Eropa","Inggris",119088
2005,"Maret","Eropa","Uni Eropa","Italia",74699
2005,"Maret","Eropa","Uni Eropa","Jerman",163774
2005,"Maret","Eropa","Uni Eropa","Perancis",53496
2005,"Maret","Eropa","Uni Eropa","Spanyol",142276
2005,"Maret","Eropa","Uni Eropa","Uni Eropa lainnya ",92831
2005,"Maret","Eropa","Rusia","Rusia",14007
2005,"Maret","Eropa","Turki","Turki",43428
2005,"Maret","Eropa","Eropa Lainnya","Eropa lainnya",54287
2005,"Maret","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",3367
2005,"Maret","Asia dan Timur Tengah","ASEAN","Filipina",123528
2005,"Maret","Asia dan Timur Tengah","ASEAN","Kamboja",9471
2005,"Maret","Asia dan Timur Tengah","ASEAN","Laos",130
2005,"Maret","Asia dan Timur Tengah","ASEAN","Malaysia",289474
2005,"Maret","Asia dan Timur Tengah","ASEAN","Myanmar",4936
2005,"Maret","Asia dan Timur Tengah","ASEAN","Singapura",628271
2005,"Maret","Asia dan Timur Tengah","ASEAN","Thailand",247727
2005,"Maret","Asia dan Timur Tengah","ASEAN","Vietnam",45577
2005,"Maret","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",122314
2005,"Maret","Asia dan Timur Tengah","Asia Selatan","India",223183
2005,"Maret","Asia dan Timur Tengah","Timur Tengah","Irak",14869
2005,"Maret","Asia dan Timur Tengah","Asia Timur","Jepang",1578972
2005,"Maret","Asia dan Timur Tengah","Asia Timur","Korea Selatan",490147
2005,"Maret","Asia dan Timur Tengah","Asia Selatan","Pakistan",33852
2005,"Maret","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",485700
2005,"Maret","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",39417
2005,"Maret","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",273238
2005,"Maret","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",232391
2005,"Maret","Australia dan Oceania","Australia","Australia",251816
2005,"Maret","Australia dan Oceania","New Zealand","New Zealand",50946
2005,"Maret","Afrika","Afrika Selatan","Afrika Selatan",26603
2005,"Maret","Afrika","Afrika Lainnya","Afrika lainnya",98695
2005,"Maret","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan","Ekspor yang tidak dapat diklasifikasikan",68730
2005,"April","Amerika","Amerika Utara","Amerika Serikat",711762
2005,"April","Amerika","Amerika Utara","Kanada",33862
2005,"April","Amerika","Amerika Tengah dan Selatan","Argentina",8280
2005,"April","Amerika","Amerika Tengah dan Selatan","Brasil",24334
2005,"April","Amerika","Amerika Tengah dan Selatan","Meksiko",21681
2005,"April","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",41505
2005,"April","Eropa","Uni Eropa","Belanda",201215
2005,"April","Eropa","Uni Eropa","Belgia",76911
2005,"April","Eropa","Uni Eropa","Inggris",96984
2005,"April","Eropa","Uni Eropa","Italia",75591
2005,"April","Eropa","Uni Eropa","Jerman",145967
2005,"April","Eropa","Uni Eropa","Perancis",48664
2005,"April","Eropa","Uni Eropa","Spanyol",107960
2005,"April","Eropa","Uni Eropa","Uni Eropa lainnya ",86370
2005,"April","Eropa","Rusia","Rusia",20767
2005,"April","Eropa","Turki","Turki",41784
2005,"April","Eropa","Eropa Lainnya","Eropa lainnya",41288
2005,"April","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",2242
2005,"April","Asia dan Timur Tengah","ASEAN","Filipina",82032
2005,"April","Asia dan Timur Tengah","ASEAN","Kamboja",6225
2005,"April","Asia dan Timur Tengah","ASEAN","Laos",46
2005,"April","Asia dan Timur Tengah","ASEAN","Malaysia",223445
2005,"April","Asia dan Timur Tengah","ASEAN","Myanmar",8700
2005,"April","Asia dan Timur Tengah","ASEAN","Singapura",766563
2005,"April","Asia dan Timur Tengah","ASEAN","Thailand",163381
2005,"April","Asia dan Timur Tengah","ASEAN","Vietnam",42020
2005,"April","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",114387
2005,"April","Asia dan Timur Tengah","Asia Selatan","India",236639
2005,"April","Asia dan Timur Tengah","Timur Tengah","Irak",3153
2005,"April","Asia dan Timur Tengah","Asia Timur","Jepang",1589803
2005,"April","Asia dan Timur Tengah","Asia Timur","Korea Selatan",551326
2005,"April","Asia dan Timur Tengah","Asia Selatan","Pakistan",41566
2005,"April","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",487202
2005,"April","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",37489
2005,"April","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",217568
2005,"April","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",228227
2005,"April","Australia dan Oceania","Australia","Australia",125256
2005,"April","Australia dan Oceania","New Zealand","New Zealand",10571
2005,"April","Afrika","Afrika Selatan","Afrika Selatan",21568
2005,"April","Afrika","Afrika Lainnya","Afrika lainnya",80873
2005,"April","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan","Ekspor yang tidak dapat diklasifikasikan",70657
2005,"Mei","Amerika","Amerika Utara","Amerika Serikat",777930
2005,"Mei","Amerika","Amerika Utara","Kanada",34702
2005,"Mei","Amerika","Amerika Tengah dan Selatan","Argentina",8203
2005,"Mei","Amerika","Amerika Tengah dan Selatan","Brasil",31724
2005,"Mei","Amerika","Amerika Tengah dan Selatan","Meksiko",21785
2005,"Mei","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",52062
2005,"Mei","Eropa","Uni Eropa","Belanda",157486
2005,"Mei","Eropa","Uni Eropa","Belgia",100459
2005,"Mei","Eropa","Uni Eropa","Inggris",121895
2005,"Mei","Eropa","Uni Eropa","Italia",88161
2005,"Mei","Eropa","Uni Eropa","Jerman",144411
2005,"Mei","Eropa","Uni Eropa","Perancis",59844
2005,"Mei","Eropa","Uni Eropa","Spanyol",105190
2005,"Mei","Eropa","Uni Eropa","Uni Eropa lainnya ",109465
2005,"Mei","Eropa","Rusia","Rusia",25494
2005,"Mei","Eropa","Turki","Turki",40700
2005,"Mei","Eropa","Eropa Lainnya","Eropa lainnya",50716
2005,"Mei","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",2192
2005,"Mei","Asia dan Timur Tengah","ASEAN","Filipina",132946
2005,"Mei","Asia dan Timur Tengah","ASEAN","Kamboja",8898
2005,"Mei","Asia dan Timur Tengah","ASEAN","Laos",129
2005,"Mei","Asia dan Timur Tengah","ASEAN","Malaysia",295084
2005,"Mei","Asia dan Timur Tengah","ASEAN","Myanmar",8617
2005,"Mei","Asia dan Timur Tengah","ASEAN","Singapura",685255
2005,"Mei","Asia dan Timur Tengah","ASEAN","Thailand",195842
2005,"Mei","Asia dan Timur Tengah","ASEAN","Vietnam",58413
2005,"Mei","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",170337
2005,"Mei","Asia dan Timur Tengah","Asia Selatan","India",201312
2005,"Mei","Asia dan Timur Tengah","Timur Tengah","Irak",9754
2005,"Mei","Asia dan Timur Tengah","Asia Timur","Jepang",1516278
2005,"Mei","Asia dan Timur Tengah","Asia Timur","Korea Selatan",602318
2005,"Mei","Asia dan Timur Tengah","Asia Selatan","Pakistan",74143
2005,"Mei","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",501518
2005,"Mei","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",50419
2005,"Mei","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",351410
2005,"Mei","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",258418
2005,"Mei","Australia dan Oceania","Australia","Australia",124143
2005,"Mei","Australia dan Oceania","New Zealand","New Zealand",41520
2005,"Mei","Afrika","Afrika Selatan","Afrika Selatan",26468
2005,"Mei","Afrika","Afrika Lainnya","Afrika lainnya",94368
2005,"Mei","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan","Ekspor yang tidak dapat diklasifikasikan",148269
2005,"Juni","Amerika","Amerika Utara","Amerika Serikat",841155
2005,"Juni","Amerika","Amerika Utara","Kanada",38840
2005,"Juni","Amerika","Amerika Tengah dan Selatan","Argentina",8044
2005,"Juni","Amerika","Amerika Tengah dan Selatan","Brasil",42227
2005,"Juni","Amerika","Amerika Tengah dan Selatan","Meksiko",27603
2005,"Juni","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",38654
2005,"Juni","Eropa","Uni Eropa","Belanda",149362
2005,"Juni","Eropa","Uni Eropa","Belgia",78466
2005,"Juni","Eropa","Uni Eropa","Inggris",99643
2005,"Juni","Eropa","Uni Eropa","Italia",81956
2005,"Juni","Eropa","Uni Eropa","Jerman",139829
2005,"Juni","Eropa","Uni Eropa","Perancis",61161
2005,"Juni","Eropa","Uni Eropa","Spanyol",84480
2005,"Juni","Eropa","Uni Eropa","Uni Eropa lainnya ",94948
2005,"Juni","Eropa","Rusia","Rusia",14028
2005,"Juni","Eropa","Turki","Turki",34869
2005,"Juni","Eropa","Eropa Lainnya","Eropa lainnya",30799
2005,"Juni","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",3438
2005,"Juni","Asia dan Timur Tengah","ASEAN","Filipina",134405
2005,"Juni","Asia dan Timur Tengah","ASEAN","Kamboja",5708
2005,"Juni","Asia dan Timur Tengah","ASEAN","Laos",16
2005,"Juni","Asia dan Timur Tengah","ASEAN","Malaysia",290656
2005,"Juni","Asia dan Timur Tengah","ASEAN","Myanmar",4878
2005,"Juni","Asia dan Timur Tengah","ASEAN","Singapura",779107
2005,"Juni","Asia dan Timur Tengah","ASEAN","Thailand",178609
2005,"Juni","Asia dan Timur Tengah","ASEAN","Vietnam",55550
2005,"Juni","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",121640
2005,"Juni","Asia dan Timur Tengah","Asia Selatan","India",197388
2005,"Juni","Asia dan Timur Tengah","Timur Tengah","Irak",13160
2005,"Juni","Asia dan Timur Tengah","Asia Timur","Jepang",1599771
2005,"Juni","Asia dan Timur Tengah","Asia Timur","Korea Selatan",584139
2005,"Juni","Asia dan Timur Tengah","Asia Selatan","Pakistan",42663
2005,"Juni","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",485218
2005,"Juni","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",49400
2005,"Juni","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",205058
2005,"Juni","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",204961
2005,"Juni","Australia dan Oceania","Australia","Australia",178801
2005,"Juni","Australia dan Oceania","New Zealand","New Zealand",16377
2005,"Juni","Afrika","Afrika Selatan","Afrika Selatan",25231
2005,"Juni","Afrika","Afrika Lainnya","Afrika lainnya",75432
2005,"Juni","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan","Ekspor yang tidak dapat diklasifikasikan",104130
2005,"Juli","Amerika","Amerika Utara","Amerika Serikat",850766
2005,"Juli","Amerika","Amerika Utara","Kanada",36078
2005,"Juli","Amerika","Amerika Tengah dan Selatan","Argentina",9495
2005,"Juli","Amerika","Amerika Tengah dan Selatan","Brasil",35020
2005,"Juli","Amerika","Amerika Tengah dan Selatan","Meksiko",26319
2005,"Juli","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",63264
2005,"Juli","Eropa","Uni Eropa","Belanda",187439
2005,"Juli","Eropa","Uni Eropa","Belgia",80539
2005,"Juli","Eropa","Uni Eropa","Inggris",121471
2005,"Juli","Eropa","Uni Eropa","Italia",68515
2005,"Juli","Eropa","Uni Eropa","Jerman",174878
2005,"Juli","Eropa","Uni Eropa","Perancis",47898
2005,"Juli","Eropa","Uni Eropa","Spanyol",99918
2005,"Juli","Eropa","Uni Eropa","Uni Eropa lainnya ",82629
2005,"Juli","Eropa","Rusia","Rusia",24576
2005,"Juli","Eropa","Turki","Turki",34529
2005,"Juli","Eropa","Eropa Lainnya","Eropa lainnya",37100
2005,"Juli","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",3355
2005,"Juli","Asia dan Timur Tengah","ASEAN","Filipina",127160
2005,"Juli","Asia dan Timur Tengah","ASEAN","Kamboja",6928
2005,"Juli","Asia dan Timur Tengah","ASEAN","Laos",294
2005,"Juli","Asia dan Timur Tengah","ASEAN","Malaysia",288261
2005,"Juli","Asia dan Timur Tengah","ASEAN","Myanmar",6595
2005,"Juli","Asia dan Timur Tengah","ASEAN","Singapura",547963
